Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
-8610.96,1.5628e-06,0.000139491,0.000231257,3.92734e-05,3.28203e-05,-8610.96


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,5.28517,0,inf,inf,0.151868,0,-nan,1.47006e-07,0.0830598,0,inf,-nan,0.0486164,0,-nan,0,, , 0.054821,0.00558424,0.0226545,4.69215,0.816964,inf,-nan,0.000368842,0.0383776,0.0073844,0.0028544,0.0031495,0.0992891,-nan,0,0.021865
2,2.31054,2.35222,inf,inf,0.418387,0.421026,-nan,7.35585e-05,0.781015,0.82269,inf,-nan,0.181307,0.183946,-nan,5.52713e-08,, , 0.176804,1.32587,0.10103,3.7056,0.608542,inf,-nan,0.0117625,0.259848,0.0872245,0.0181809,0.0149351,0.471871,-nan,5.52713e-08,0.697283
3,0.789187,0.821012,inf,inf,0.215256,0.218559,-nan,0.000292908,0.226947,0.258772,inf,-nan,0.124959,0.128262,-nan,2.21085e-07,, , 0.133888,0.278811,0.0730199,4.69201,0.331666,inf,-nan,0.0465954,0.189569,0.0505749,0.0130766,0.0323023,0.199106,-nan,2.21085e-07,2.76217
4,0.40442,0.40618,inf,inf,0.0387423,0.0391955,-nan,0.00060312,0.35224,0.354,inf,-nan,0.0206157,0.0210689,-nan,9.82601e-07,, , 0.00748737,0.694688,0.004065,6.36414,0.0754272,inf,-nan,0.186261,0.0223239,0.0177567,0.00160405,0.109182,0.0732655,-nan,9.82601e-07,11.0415
5,0.0154402,0.0156571,inf,inf,0.00116084,0.00117431,-nan,1.33129e-06,0.0016156,0.00183244,inf,-nan,0.000190082,0.000203548,-nan,2.4565e-08,, , 0.000948592,0.0019882,0.000511249,0.0589175,0.00371851,inf,-nan,0.000404684,0.000167547,0.000186042,4.00402e-05,0.000628315,0.00163356,-nan,2.4565e-08,0.0239897
Total,8.80476,3.59507,inf,inf,0.825414,0.679954,-nan,0.000971064,1.44488,1.43729,inf,-nan,0.375688,0.33348,-nan,1.28352e-06,, , 0.373949,2.30694,0.201281,19.5128,1.83632,inf,-nan,0.245392,0.510286,0.163127,0.035756,0.160197,0.845165,-nan,1.28352e-06,14.5468


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
-nan,0,0,-nan,-nan,-nan
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
2.49452e-06,9.45396e-09,3.76206e-07,1.43899e-06,2.94404e-07,2.23867e-07,1.516e-07


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,4.47097,0,0.839155,0.000914577,0.00801447,0,0.0126879,7.73103e-07,0.0942646,0,0.77161,0.000908291,0.00172636,0,0.00407419,7.6898e-07,, , 0.050888,0.00456186,0.0388148,4.06021,0.386354,0.77161,0.000908291,0.000737684,0.000619724,0.000837993,0.00026864,0.000219882,0.00290162,0.00407419,7.6898e-07,0.0437299
2,1.84624,1.85553,12.4814,0.0407872,0.0204405,0.0248447,1.58535,9.11464e-06,0.454518,0.463807,12.1216,0.0391184,0.0093262,0.0137303,0.203706,8.90389e-07,, , 0.18464,0.636203,0.0974825,2.90726,0.880139,12.1216,0.0391184,0.0235251,0.00993212,0.0112632,0.0018612,0.00150492,0.020186,0.203706,8.90389e-07,1.39457
3,0.701537,0.710768,25.0917,0.142486,0.0104526,0.0138857,5.67452,1.33354e-05,0.166517,0.175748,24.2294,0.13581,0.00612603,0.0095592,0.15114,2.68465e-06,, , 0.135654,0.137399,0.0692132,3.91314,0.596216,24.2294,0.13581,0.0931907,0.00802811,0.00629075,0.00136637,0.0035012,0.00877457,0.15114,2.68465e-06,5.52435
4,0.224651,0.225148,3.24617,0.231498,0.00313,0.00359018,22.1211,1.89494e-05,0.171099,0.171596,0.0280631,0.20575,0.00166463,0.00212481,0.0284206,2.06058e-06,, , 0.00753633,0.331299,0.00386066,5.0781,0.163341,0.0280631,0.20575,0.372521,0.00114703,0.00247316,0.000169246,0.0120861,0.00384767,0.0284206,2.06058e-06,22.0831
5,0.0151653,0.0152212,0.0113447,0.000785059,8.94806e-05,9.79809e-05,0.0479943,4.59564e-08,0.0011746,0.00123052,0.00249664,0.000729182,1.79619e-05,2.64622e-05,4.63681e-05,9.30536e-09,, , 0.000942041,0.000974245,0.000488832,0.0502961,0.00807581,0.00249664,0.000729182,0.000809368,1.6445e-05,2.37605e-05,4.21862e-06,7.14703e-05,9.4254e-05,4.63681e-05,9.30536e-09,0.0479794
Total,7.25856,2.80666,41.6697,0.416471,0.042127,0.0424186,29.4416,4.22185e-05,0.887574,0.812382,37.1532,0.382316,0.0188612,0.0254408,0.387387,6.4139e-06,, , 0.37966,1.11044,0.20986,16.009,2.03413,37.1532,0.382316,0.490784,0.0197434,0.0208889,0.00366967,0.0173836,0.0358042,0.387387,6.4139e-06,29.0937


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.5902,0.0191749,0.900322,108.764,0.0254871,1.1967
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
2.49452e-06,9.45396e-09,3.76206e-07,1.43899e-06,2.94404e-07,2.23867e-07,1.516e-07


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,4.47097,0,0.839155,0.000914577,0.00801447,0,0.0126879,7.73103e-07,0.0942646,0,0.77161,0.000908291,0.00172636,0,0.00407419,7.6898e-07,, , 0.050888,0.00456186,0.0388148,4.06021,0.386354,0.77161,0.000908291,0.000737684,0.000619724,0.000837993,0.00026864,0.000219882,0.00290162,0.00407419,7.6898e-07,0.0437299
2,1.84624,1.85553,12.4814,0.0407872,0.0204405,0.0248447,1.58535,9.11464e-06,0.454518,0.463807,12.1216,0.0391184,0.0093262,0.0137303,0.203706,8.90389e-07,, , 0.18464,0.636203,0.0974825,2.90726,0.880139,12.1216,0.0391184,0.0235251,0.00993212,0.0112632,0.0018612,0.00150492,0.020186,0.203706,8.90389e-07,1.39457
3,0.701537,0.710768,25.0917,0.142486,0.0104526,0.0138857,5.67452,1.33354e-05,0.166517,0.175748,24.2294,0.13581,0.00612603,0.0095592,0.15114,2.68465e-06,, , 0.135654,0.137399,0.0692132,3.91314,0.596216,24.2294,0.13581,0.0931907,0.00802811,0.00629075,0.00136637,0.0035012,0.00877457,0.15114,2.68465e-06,5.52435
4,0.224651,0.225148,3.24617,0.231498,0.00313,0.00359018,22.1211,1.89494e-05,0.171099,0.171596,0.0280631,0.20575,0.00166463,0.00212481,0.0284206,2.06058e-06,, , 0.00753633,0.331299,0.00386066,5.0781,0.163341,0.0280631,0.20575,0.372521,0.00114703,0.00247316,0.000169246,0.0120861,0.00384767,0.0284206,2.06058e-06,22.0831
5,0.0151653,0.0152212,0.0113447,0.000785059,8.94806e-05,9.79809e-05,0.0479943,4.59564e-08,0.0011746,0.00123052,0.00249664,0.000729182,1.79619e-05,2.64622e-05,4.63681e-05,9.30536e-09,, , 0.000942041,0.000974245,0.000488832,0.0502961,0.00807581,0.00249664,0.000729182,0.000809368,1.6445e-05,2.37605e-05,4.21862e-06,7.14703e-05,9.4254e-05,4.63681e-05,9.30536e-09,0.0479794
Total,7.25856,2.80666,41.6697,0.416471,0.042127,0.0424186,29.4416,4.22185e-05,0.887574,0.812382,37.1532,0.382316,0.0188612,0.0254408,0.387387,6.4139e-06,, , 0.37966,1.11044,0.20986,16.009,2.03413,37.1532,0.382316,0.490784,0.0197434,0.0208889,0.00366967,0.0173836,0.0358042,0.387387,6.4139e-06,29.0937


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.5902,0.0191749,0.900322,108.764,0.0254871,1.1967
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
2.49452e-06,9.45396e-09,3.76206e-07,1.43899e-06,2.94404e-07,2.23867e-07,1.516e-07


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,4.47097,0,0.839155,0.000914577,0.00801447,0,0.0126879,7.73103e-07,0.0942646,0,0.77161,0.000908291,0.00172636,0,0.00407419,7.6898e-07,, , 0.050888,0.00456186,0.0388148,4.06021,0.386354,0.77161,0.000908291,0.000737684,0.000619724,0.000837993,0.00026864,0.000219882,0.00290162,0.00407419,7.6898e-07,0.0437299
