Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.72478,0,1.81752,0.000688974,0.0554133,0,0.111504,3.14331e-06,0.102881,0,1.23285,0.000681999,0.0114112,0,0.0876581,3.06411e-06,, , 0.0569942,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693045,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.06411e-06,0.0585562
2,14.3228,14.4148,11.3425,0.00642753,0.384347,0.439553,3.50293,4.77329e-05,3.46802,3.56006,9.61594,0.00611835,0.122317,0.177523,2.63448,2.57651e-06,, , 0.489878,6.25664,0.281557,15.039,8.87695,9.61594,0.00611835,0.0155217,0.158433,0.122412,0.0189942,0.00836733,0.51324,2.63448,2.57651e-06,0.920125
3,3.94376,3.98392,7.27335,0.0138308,0.123878,0.148655,2.78188,0.000125308,0.835557,0.875721,6.41518,0.0132124,0.0460365,0.0708137,1.05235,1.40364e-05,, , 0.213941,1.37476,0.122576,5.19895,2.83585,6.41518,0.0132124,0.0293457,0.0690578,0.0396159,0.00817661,0.0073045,0.152882,1.05235,1.40364e-05,1.73961
4,5.81927,5.90594,7.76418,0.0251624,0.20092,0.250731,5.39276,6.73151e-05,1.02236,1.10902,6.41336,0.0239257,0.0862858,0.136097,1.93474,1.032e-05,, , 0.425297,1.4674,0.238688,8.71495,4.15019,6.41336,0.0239257,0.0584488,0.134076,0.072218,0.0160885,0.0115958,0.228027,1.93474,1.032e-05,3.46485
5,1.42547,1.45736,7.03576,0.054385,0.0600555,0.0784933,7.62983,0.00013367,0.251644,0.283535,5.49994,0.0519116,0.0301423,0.0485801,0.715994,4.08e-05,, , 0.156511,0.291019,0.0876438,6.27073,1.45379,5.49994,0.0519116,0.116473,0.0500135,0.0227841,0.00592485,0.017268,0.0652687,0.715994,4.08e-05,6.90454
6,2.2845,2.35052,8.43792,0.0710497,0.102455,0.139204,15.2238,0.000114257,0.403029,0.46905,5.50055,0.0661028,0.0588509,0.0956003,1.39641,1.01169e-05,, , 0.311562,0.387537,0.172973,11.9448,2.43759,5.50055,0.0661028,0.232886,0.098318,0.0443615,0.0117717,0.0309699,0.101966,1.39641,1.01169e-05,13.8055
7,0.448093,0.449845,9.57537,0.069204,0.0238102,0.0273742,49.3557,0.000198718,0.366512,0.368265,0.0128742,0.0522737,0.0123243,0.0158883,0.192925,6.46917e-06,, , 0.00874043,0.72115,0.00488577,12.0317,0.252186,0.0128742,0.0522737,0.827824,0.0096126,0.0174337,0.00116636,0.106011,0.0447805,0.192925,6.46917e-06,49.0734
8,0.027454,0.0276666,0.0180255,0.000252999,0.000486874,0.000511678,0.0602445,2.70723e-07,0.00177504,0.00198768,0.0020546,0.000232332,6.71109e-05,9.19148e-05,0.00022534,3.60444e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.0020546,0.000232332,0.00101147,5.65898e-05,8.41608e-05,1.82751e-05,0.000319475,0.000672753,0.00022534,3.60444e-08,0.0599602
Total,35.9961,28.59,53.2646,0.241001,0.951366,1.08452,84.0586,0.000690415,6.45177,6.66764,34.6928,0.214459,0.367435,0.544594,8.0148,8.74192e-05,, , 1.664,10.5072,0.948155,66.1026,21.4208,34.6928,0.214459,1.2825,0.526498,0.322039,0.0634918,0.183419,1.14651,8.0148,8.74192e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.14172,0.00846799,1.56168,20.659,0.0208218,3.83998
