Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
4.34621e-06,1.5003e-08,3.35145e-07,2.28362e-06,4.86252e-07,5.71555e-07,6.54634e-07


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,4.86842,0,1.09903,0.000228644,0.0098404,0,0.0141001,7.94157e-07,0.0942432,0,0.900153,0.000227073,0.00172537,0,0.00407921,7.90034e-07,, , 0.050888,0.00456186,0.0387934,4.32294,0.652411,0.900153,0.000227073,0.000760421,0.000619705,0.000837993,0.000267669,0.000337995,0.00466978,0.00407921,7.90034e-07,0.0450778
2,7.89372,7.91509,7.78646,0.00424459,0.0675312,0.077088,1.27966,8.58985e-06,1.75497,1.77634,7.09619,0.00403598,0.0252562,0.034813,0.41322,4.7463e-07,, , 0.423919,2.88362,0.223767,8.79432,4.49251,7.09619,0.00403598,0.0155217,0.0200825,0.0357339,0.00425277,0.00199088,0.0769992,0.41322,4.7463e-07,0.920125
3,2.16649,2.1758,5.11463,0.00792049,0.02165,0.0261995,1.91524,5.48694e-06,0.454497,0.463807,4.73586,0.00750327,0.00933629,0.0138859,0.188373,4.36928e-07,, , 0.18464,0.636203,0.0974611,3.00614,1.43502,4.73586,0.00750327,0.0293457,0.0101025,0.0112632,0.00185638,0.00173213,0.0225336,0.188373,4.36928e-07,1.73961
4,3.34277,3.36791,5.35239,0.0144689,0.0358773,0.0453534,3.82939,6.51568e-06,0.608221,0.63337,4.73595,0.0136344,0.0178027,0.0272788,0.376508,6.33159e-07,, , 0.36928,0.683917,0.188394,5.19861,2.16376,4.73595,0.0136344,0.0584488,0.0210578,0.020325,0.00369868,0.002757,0.0342066,0.376508,6.33159e-07,3.46485
5,0.819262,0.828514,4.84452,0.0295118,0.0107581,0.0142792,7.03833,1.11738e-05,0.166496,0.175748,4.0617,0.027843,0.00599011,0.0095112,0.134148,1.60388e-06,, , 0.135654,0.137399,0.0691918,3.84187,0.800239,4.0617,0.027843,0.116473,0.0078522,0.00629075,0.00135836,0.00413113,0.00963862,0.134148,1.60388e-06,6.90454
6,1.37992,1.4008,5.57611,0.0486257,0.0187962,0.0258098,14.0764,1.78638e-05,0.28597,0.306854,4.0623,0.045288,0.0118706,0.0188842,0.268302,1.93168e-06,, , 0.271308,0.185511,0.136005,7.40644,1.40279,4.0623,0.045288,0.232886,0.0158353,0.0122027,0.00271678,0.0074108,0.0152855,0.268302,1.93168e-06,13.8055
7,0.225666,0.226163,2.84432,0.0346122,0.00309231,0.00357475,27.6395,1.80227e-05,0.171099,0.171596,0.00697257,0.0281751,0.00162878,0.00211122,0.023714,1.13386e-06,, , 0.00753633,0.331299,0.00386066,4.60421,0.165371,0.00697257,0.0281751,0.465651,0.00109944,0.00247316,0.000167404,0.014493,0.00384399,0.023714,1.13386e-06,27.6038
8,0.0159724,0.0160284,0.0096264,0.000158757,8.96811e-05,9.83064e-05,0.0599813,4.44728e-08,0.0011746,0.00123052,0.0018123,0.000144788,1.78553e-05,2.64807e-05,4.73807e-05,7.82179e-09,, , 0.000942041,0.000974245,0.000488832,0.0486447,0.0101055,0.0018123,0.000144788,0.00101147,1.63651e-05,2.37605e-05,4.21046e-06,7.66936e-05,9.4868e-05,4.73807e-05,7.82179e-09,0.0599602
Total,20.7122,15.9303,32.6271,0.139771,0.167635,0.192403,55.8527,6.84915e-05,3.53667,3.52895,25.6009,0.126852,0.0736279,0.106511,1.40839,7.01199e-06,, , 1.44417,4.86349,0.757962,37.2232,11.1222,25.6009,0.126852,0.920099,0.0766659,0.0891506,0.0143223,0.0329296,0.167272,1.40839,7.01199e-06,54.5435


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
3.25265,0.0144073,2.63435,115.105,0.0304939,5.57577
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
4.79214e-05,2.49108e-07,8.19261e-06,2.72414e-05,5.90178e-06,3.75399e-06,2.58252e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,6.77717,0,1.2223,0.0027559,0.0385559,0,0.107159,3.59505e-06,0.102967,0,0.952422,0.002728,0.0114149,0,0.0876101,3.51584e-06,, , 0.0569955,0.00667268,0.0392989,6.19192,0.762942,0.952422,0.002728,0.000919579,0.00693068,0.00312942,0.00135485,0.00108475,0.0230575,0.0876101,3.51584e-06,0.0545126
2,3.22925,3.26929,15.5551,6000.09,0.110578,0.134291,2.54311,6.68544,0.835418,0.875459,14.7249,6000.09,0.0472815,0.0709942,1.15936,0.835678,, , 0.213455,1.37476,0.122661,5.00969,1.5742,14.7249,6000.09,0.0235251,0.0703723,0.0396159,0.00828749,0.00635559,0.124006,1.15936,0.835678,1.39457
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
2.49452e-06,9.45396e-09,3.76206e-07,1.43899e-06,2.94404e-07,2.23867e-07,1.516e-07


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,4.47097,0,0.839155,0.000864577,0.00801445,0,0.0126879,7.51968e-07,0.0942646,0,0.77161,0.000858291,0.00172633,0,0.00407419,7.47845e-07,, , 0.050888,0.00456186,0.0388148,4.06021,0.386354,0.77161,0.000858291,0.000737684,0.000619698,0.000837993,0.00026864,0.000219882,0.00290162,0.00407419,7.47845e-07,0.0437299
2,1.84624,1.85553,12.4812,0.0313198,0.0203494,0.0248314,1.56951,5.24963e-06,0.454518,0.463807,12.1215,0.0296509,0.00923505,0.0137171,0.187862,4.07264e-07,, , 0.18464,0.636203,0.0974825,2.90726,0.880139,12.1215,0.0296509,0.0235251,0.00983306,0.0112632,0.00185582,0.00150492,0.020186,0.187862,4.07264e-07,1.39457
3,0.701537,0.710768,25.0915,0.136999,0.0103297,0.0138521,5.65706,1.17768e-05,0.166517,0.175748,24.2293,0.130324,0.00600315,0.00952558,0.133681,1.90536e-06,, , 0.135654,0.137399,0.0692132,3.91314,0.596216,24.2293,0.130324,0.0931907,0.00787837,0.00629075,0.0013596,0.0035012,0.00877457,0.133681,1.90536e-06,5.52435
4,0.224651,0.225148,3.24614,0.190666,0.0031093,0.00358502,22.1172,1.84836e-05,0.171099,0.171596,0.0280318,0.164918,0.00164392,0.00211965,0.0245405,1.5948e-06,, , 0.00753633,0.331299,0.00386066,5.0781,0.163341,0.0280318,0.164918,0.372521,0.00112232,0.00247316,0.000168091,0.0120861,0.00384767,0.0245405,1.5948e-06,22.0831
5,0.0151653,0.0152212,0.0113349,0.00112265,8.93149e-05,9.79047e-05,0.0479929,4.89294e-08,0.0011746,0.00123052,0.00248683,0.00106677,1.77962e-05,2.6386e-05,4.49642e-05,1.22783e-08,, , 0.000942041,0.000974245,0.000488832,0.0502961,0.00807581,0.00248683,0.00106677,0.000809368,1.62123e-05,2.37605e-05,4.2094e-06,7.14703e-05,9.4254e-05,4.49642e-05,1.22783e-08,0.0479794
Total,7.25856,2.80666,41.6694,0.360972,0.0418921,0.0423664,29.4044,3.63109e-05,0.887574,0.812382,37.1529,0.326818,0.0186263,0.0253887,0.350202,4.66754e-06,, , 0.37966,1.11044,0.20986,16.009,2.03413,37.1529,0.326818,0.490784,0.0194697,0.0208889,0.00365636,0.0173836,0.0358042,0.350202,4.66754e-06,29.0937


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.59222,0.0191955,0.901287,119.103,0.0255234,1.1984
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
7.85806e-05,3.65072e-07,1.05167e-05,3.99228e-05,8.88591e-06,8.92732e-06,9.96281e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.7248,0,1.81752,0.000688974,0.0554144,0,0.111504,3.59518e-06,0.1029,0,1.23285,0.000681999,0.0114123,0,0.0876581,3.51597e-06,, , 0.0570138,0.00667268,0.0392138,6.82208,1.3952,1.23285,0.000681999,0.000987789,0.00693154,0.00312942,0.00135132,0.00158292,0.0396732,0.0876581,3.51597e-06,0.0585562
2,14.3221,14.414,11.3432,0.00476623,0.385284,0.440416,3.586,1.87149e-05,3.46737,3.5593,9.6167,0.00445705,0.123253,0.178386,2.71755,7.62883e-07,, , 0.488471,6.25664,0.281557,15.039,8.87695,9.6167,0.00445705,0.0155217,0.160155,0.122412,0.0190716,0.00836733,0.51324,2.71755,7.62883e-07,0.920125
3,3.94361,3.98375,7.27441,0.00997286,0.124295,0.14881,2.81811,2.87112e-05,0.835409,0.875548,6.41624,0.00935451,0.0464529,0.0709679,1.08858,1.96171e-06,, , 0.21362,1.37476,0.122576,5.19895,2.83585,6.41624,0.00935451,0.0293457,0.069574,0.0396159,0.00823098,0.0073045,0.152882,1.08858,1.96171e-06,1.73961
4,5.82008,5.90683,7.76541,0.0254628,0.201875,0.251175,5.48949,7.38616e-05,1.02317,1.10991,6.4146,0.0242261,0.0872411,0.136542,2.03148,1.19566e-05,, , 0.427,1.4674,0.238688,8.71495,4.15019,6.4146,0.0242261,0.0584488,0.13535,0.072218,0.016215,0.0115958,0.228027,2.03148,1.19566e-05,3.46485
5,1.42562,1.45754,7.03603,0.0506528,0.0602059,0.0786335,7.63872,9.81029e-05,0.251799,0.283714,5.50021,0.0481794,0.0302927,0.0487203,0.724882,2.30164e-05,, , 0.156847,0.291019,0.0876438,6.27073,1.45379,5.50021,0.0481794,0.116473,0.0502904,0.0227841,0.00593854,0.017268,0.0652687,0.724882,2.30164e-05,6.90454
6,2.28545,2.35157,8.43865,0.0795452,0.103373,0.140201,15.2594,0.00011946,0.403987,0.470106,5.50128,0.0745983,0.0597691,0.0965973,1.432,1.53197e-05,, , 0.31358,0.387537,0.172973,11.9448,2.43759,5.50128,0.0745983,0.232886,0.100159,0.0443615,0.0118463,0.0309699,0.101966,1.432,1.53197e-05,13.8055
7,0.448094,0.449848,9.5754,0.0752213,0.0238294,0.0273923,49.3574,0.000199337,0.366513,0.368267,0.0129063,0.058291,0.0123435,0.0159065,0.194679,7.08881e-06,, , 0.00874314,0.72115,0.00488577,12.0317,0.252186,0.0129063,0.058291,0.827824,0.00964827,0.0174337,0.00116801,0.106011,0.0447805,0.194679,7.08881e-06,49.0734
8,0.027454,0.0276666,0.0180145,0.000240548,0.000486783,0.00051158,0.0602445,2.7045e-07,0.00177504,0.00198768,0.00204361,0.000219882,6.70196e-05,9.18165e-05,0.000225339,3.57721e-08,, , 0.00108033,0.00206542,0.000616971,0.0803503,0.0190347,0.00204361,0.000219882,0.00101147,5.64089e-05,8.41608e-05,1.82664e-05,0.000319475,0.000672753,0.000225339,3.57721e-08,0.0599602
Total,35.9972,28.5913,53.2687,0.246551,0.954762,1.08714,84.3209,0.000542053,6.45292,6.66884,34.6968,0.220008,0.370832,0.547211,8.27705,6.36579e-05,, , 1.66636,10.5072,0.948155,66.1026,21.4208,34.6968,0.220008,1.2825,0.532164,0.322039,0.06384,0.183419,1.14651,8.27705,6.36579e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.13507,0.00846714,1.56152,20.0564,0.0208166,3.83902
